,beacon,d-01,datetime,day,m-01,m-02,m-03,m-04,minutes
0,0.0,,2017-10-19T15:12:13,3.0,,,,,54733.0
1,50.0,,2017-10-19T15:17:13,3.0,,,,,55033.0
2,30.0,,2017-10-19T15:22:13,3.0,,,,,55333.0
3,90.0,,2017-10-19T15:27:13,3.0,,40.0,26.0,6.0,55633.0
4,140.0,,2017-10-19T15:32:13,3.0,,340.0,326.0,306.0,55933.0
5,440.0,265.0,2017-10-19T15:37:13,3.0,,640.0,626.0,606.0,56233.0
6,140.0,126.0,2017-10-19T15:42:13,3.0,176.0,273.0,199.0,906.0,56533.0
7,200.0,426.0,2017-10-19T15:47:13,3.0,476.0,573.0,499.0,1206.0,56833.0
8,30.0,179.0,2017-10-19T15:52:13,3.0,776.0,873.0,799.0,1506.0,57133.0
9,90.0,94.0,2017-10-19T15:57:13,3.0,1076.0,209.0,1099.0,1806.0,57433.0
10,140.0,15.0,2017-10-19T16:02:13,3.0,121.0,44.0,28.0,40.0,57733.0
11,200.0,315.0,2017-10-19T16:07:13,3.0,421.0,344.0,328.0,340.0,58033.0
12,20.0,615.0,2017-10-19T16:12:13,3.0,721.0,644.0,628.0,640.0,58333.0
13,100.0,915.0,2017-10-19T16:17:13,3.0,1021.0,944.0,928.0,940.0,58633.0
14,140.0,1215.0,2017-10-19T16:22:13,3.0,1321.0,1244.0,1228.0,1240.0,58933.0
15,200.0,1515.0,2017-10-19T16:27:13,3.0,1621.0,1544.0,1528.0,1540.0,59233.0
16,20.0,1815.0,2017-10-19T16:32:13,3.0,1921.0,1844.0,1828.0,1840.0,59533.0
17,100.0,2115.0,2017-10-19T16:37:13,3.0,2221.0,2144.0,2128.0,2140.0,59833.0
18,140.0,2415.0,2017-10-19T16:42:13,3.0,2521.0,2444.0,2428.0,2440.0,60133.0
19,210.0,2715.0,2017-10-19T16:47:13,3.0,2821.0,2744.0,2728.0,2740.0,60433.0
20,20.0,3015.0,2017-10-19T16:52:13,3.0,3121.0,3044.0,3028.0,3040.0,60733.0
21,90.0,3315.0,2017-10-19T16:57:13,3.0,3421.0,3344.0,3328.0,3340.0,61033.0
22,180.0,3615.0,2017-10-19T17:02:13,3.0,3721.0,3644.0,3628.0,3640.0,61333.0
23,210.0,3915.0,2017-10-19T17:07:13,3.0,4021.0,3944.0,3928.0,3940.0,61633.0
24,20.0,4215.0,2017-10-19T17:12:13,3.0,4321.0,4244.0,4228.0,4240.0,61933.0
25,80.0,4515.0,2017-10-19T17:17:13,3.0,4621.0,4544.0,4528.0,4540.0,62233.0
26,140.0,4815.0,2017-10-19T17:22:13,3.0,4921.0,4844.0,4828.0,4840.0,62533.0
27,210.0,5115.0,2017-10-19T17:27:13,3.0,5221.0,5144.0,5128.0,5140.0,62833.0
28,40.0,5415.0,2017-10-19T17:32:13,3.0,5521.0,5444.0,5428.0,5440.0,63133.0
29,100.0,5715.0,2017-10-19T17:37:13,3.0,5821.0,5744.0,5728.0,5740.0,63433.0
30,140.0,6015.0,2017-10-19T17:42:13,3.0,6121.0,6044.0,6028.0,6040.0,63733.0
31,210.0,6315.0,2017-10-19T17:47:13,3.0,6421.0,6344.0,6328.0,6340.0,64033.0
32,40.0,6615.0,2017-10-19T17:52:13,3.0,6721.0,6644.0,6628.0,6640.0,64333.0
33,80.0,6915.0,2017-10-19T17:57:13,3.0,7021.0,6944.0,6928.0,6940.0,64633.0
34,140.0,7215.0,2017-10-19T18:02:13,3.0,7321.0,7244.0,7228.0,7240.0,64933.0
35,210.0,7515.0,2017-10-19T18:07:13,3.0,7621.0,7544.0,7528.0,7540.0,65233.0
36,20.0,7815.0,2017-10-19T18:12:13,3.0,7921.0,7844.0,7828.0,7840.0,65533.0
37,80.0,8115.0,2017-10-19T18:17:13,3.0,8221.0,8144.0,8128.0,8140.0,65833.0
38,140.0,8415.0,2017-10-19T18:22:13,3.0,8521.0,8444.0,8428.0,8440.0,66133.0
39,210.0,8715.0,2017-10-19T18:27:13,3.0,8821.0,8744.0,8728.0,8740.0,66433.0
40,40.0,9015.0,2017-10-19T18:32:13,3.0,9121.0,9044.0,9028.0,9040.0,66733.0
41,80.0,9315.0,2017-10-19T18:37:13,3.0,9421.0,9344.0,9328.0,9340.0,67033.0
42,140.0,9615.0,2017-10-19T18:42:13,3.0,9721.0,9644.0,9628.0,9640.0,67333.0
43,200.0,9915.0,2017-10-19T18:47:13,3.0,10021.0,9944.0,9928.0,9940.0,67633.0
44,20.0,10215.0,2017-10-19T18:52:13,3.0,10321.0,10244.0,10228.0,10240.0,67933.0
45,90.0,10515.0,2017-10-19T18:57:13,3.0,10621.0,10544.0,10528.0,10540.0,68233.0
46,170.0,10815.0,2017-10-19T19:02:13,3.0,10921.0,10844.0,10828.0,10840.0,68533.0
47,200.0,11115.0,2017-10-19T19:07:13,3.0,11221.0,11144.0,11128.0,11140.0,68833.0
48,30.0,11415.0,2017-10-19T19:12:13,3.0,11521.0,11444.0,11428.0,11440.0,69133.0
49,90.0,11715.0,2017-10-19T19:17:13,3.0,11821.0,11744.0,11728.0,11740.0,69433.0
50,140.0,12015.0,2017-10-19T19:22:13,3.0,12121.0,12044.0,12028.0,12040.0,69733.0
51,200.0,12315.0,2017-10-19T19:27:13,3.0,12421.0,12344.0,12328.0,12340.0,70033.0
52,30.0,12615.0,2017-10-19T19:32:13,3.0,12721.0,12644.0,12628.0,12640.0,70333.0
53,80.0,12915.0,2017-10-19T19:37:13,3.0,13021.0,12944.0,12928.0,12940.0,70633.0
54,160.0,13215.0,2017-10-19T19:42:13,3.0,13321.0,13244.0,13228.0,13240.0,70933.0
55,200.0,13515.0,2017-10-19T19:47:13,3.0,13621.0,13544.0,13528.0,13540.0,71233.0
56,20.0,13815.0,2017-10-19T19:52:13,3.0,13921.0,13844.0,13828.0,13840.0,71533.0
57,80.0,14115.0,2017-10-19T19:57:13,3.0,14221.0,14144.0,14128.0,14140.0,71833.0
58,150.0,14415.0,2017-10-19T20:02:13,3.0,14521.0,14444.0,14428.0,14440.0,72133.0
