,beacon,datetime,day,minutes
0,0.0,2017-10-20T16:45:43,4.0,60343.0
1,300.0,2017-10-20T16:50:43,4.0,60643.0
2,600.0,2017-10-20T16:55:43,4.0,60943.0
3,900.0,2017-10-20T17:00:43,4.0,61243.0
4,80.0,2017-10-20T17:05:43,4.0,61543.0
5,140.0,2017-10-20T17:10:43,4.0,61843.0
6,14.0,2017-10-20T17:15:43,4.0,62143.0
7,74.0,2017-10-20T17:20:43,4.0,62443.0
8,134.0,2017-10-20T17:25:43,4.0,62743.0
9,194.0,2017-10-20T17:30:43,4.0,63043.0
10,14.0,2017-10-20T17:35:43,4.0,63343.0
11,73.0,2017-10-20T17:40:43,4.0,63643.0
12,135.0,2017-10-20T17:45:43,4.0,63943.0
13,193.0,2017-10-20T17:50:43,4.0,64243.0
14,13.0,2017-10-20T17:55:43,4.0,64543.0
15,74.0,2017-10-20T18:00:43,4.0,64843.0
16,135.0,2017-10-20T18:05:43,4.0,65143.0
17,194.0,2017-10-20T18:10:43,4.0,65443.0
18,14.0,2017-10-20T18:15:43,4.0,65743.0
19,74.0,2017-10-20T18:20:43,4.0,66043.0
20,134.0,2017-10-20T18:25:43,4.0,66343.0
21,195.0,2017-10-20T18:30:43,4.0,66643.0
22,13.0,2017-10-20T18:35:43,4.0,66943.0
23,73.0,2017-10-20T18:40:43,4.0,67243.0
24,133.0,2017-10-20T18:45:43,4.0,67543.0
25,194.0,2017-10-20T18:50:43,4.0,67843.0
26,13.0,2017-10-20T18:55:43,4.0,68143.0
27,73.0,2017-10-20T19:00:43,4.0,68443.0
28,133.0,2017-10-20T19:05:43,4.0,68743.0
29,193.0,2017-10-20T19:10:43,4.0,69043.0
30,14.0,2017-10-20T19:15:43,4.0,69343.0
31,74.0,2017-10-20T19:20:43,4.0,69643.0
32,133.0,2017-10-20T19:25:43,4.0,69943.0
33,194.0,2017-10-20T19:30:43,4.0,70243.0
34,15.0,2017-10-20T19:35:43,4.0,70543.0
35,74.0,2017-10-20T19:40:43,4.0,70843.0
36,134.0,2017-10-20T19:45:43,4.0,71143.0
37,195.0,2017-10-20T19:50:43,4.0,71443.0
38,14.0,2017-10-20T19:55:43,4.0,71743.0
39,74.0,2017-10-20T20:00:43,4.0,72043.0
40,135.0,2017-10-20T20:05:43,4.0,72343.0
41,194.0,2017-10-20T20:10:43,4.0,72643.0
42,13.0,2017-10-20T20:15:43,4.0,72943.0
43,74.0,2017-10-20T20:20:43,4.0,73243.0
44,134.0,2017-10-20T20:25:43,4.0,73543.0
45,193.0,2017-10-20T20:30:43,4.0,73843.0
46,13.0,2017-10-20T20:35:43,4.0,74143.0
47,74.0,2017-10-20T20:40:43,4.0,74443.0
48,134.0,2017-10-20T20:45:43,4.0,74743.0
49,19.0,2017-10-20T20:50:43,4.0,75043.0
50,14.0,2017-10-20T20:55:43,4.0,75343.0
51,74.0,2017-10-20T21:00:43,4.0,75643.0
52,134.0,2017-10-20T21:05:43,4.0,75943.0
53,194.0,2017-10-20T21:10:43,4.0,76243.0
54,14.0,2017-10-20T21:15:43,4.0,76543.0
55,74.0,2017-10-20T21:20:43,4.0,76843.0
56,134.0,2017-10-20T21:25:43,4.0,77143.0
57,194.0,2017-10-20T21:30:43,4.0,77443.0
58,15.0,2017-10-20T21:35:43,4.0,77743.0
59,74.0,2017-10-20T21:40:43,4.0,78043.0
60,135.0,2017-10-20T21:45:43,4.0,78343.0
61,194.0,2017-10-20T21:50:43,4.0,78643.0
62,13.0,2017-10-20T21:55:43,4.0,78943.0
63,74.0,2017-10-20T22:00:43,4.0,79243.0
64,133.0,2017-10-20T22:05:43,4.0,79543.0
65,194.0,2017-10-20T22:10:43,4.0,79843.0
66,13.0,2017-10-20T22:15:43,4.0,80143.0
67,73.0,2017-10-20T22:20:43,4.0,80443.0
68,133.0,2017-10-20T22:25:43,4.0,80743.0
69,194.0,2017-10-20T22:30:43,4.0,81043.0
70,14.0,2017-10-20T22:35:43,4.0,81343.0
71,74.0,2017-10-20T22:40:43,4.0,81643.0
72,133.0,2017-10-20T22:45:43,4.0,81943.0
73,193.0,2017-10-20T22:50:43,4.0,82243.0
74,13.0,2017-10-20T22:55:43,4.0,82543.0
75,73.0,2017-10-20T23:00:43,4.0,82843.0
76,133.0,2017-10-20T23:05:43,4.0,83143.0
77,193.0,2017-10-20T23:10:43,4.0,83443.0
78,13.0,2017-10-20T23:15:43,4.0,83743.0
79,73.0,2017-10-20T23:20:43,4.0,84043.0
80,133.0,2017-10-20T23:25:43,4.0,84343.0
81,194.0,2017-10-20T23:30:43,4.0,84643.0
82,14.0,2017-10-20T23:35:43,4.0,84943.0
83,73.0,2017-10-20T23:40:43,4.0,85243.0
84,133.0,2017-10-20T23:45:43,4.0,85543.0
85,194.0,2017-10-20T23:50:43,4.0,85843.0
86,13.0,2017-10-20T23:55:43,4.0,86143.0
87,74.0,2017-10-21T00:00:43,5.0,43.0
88,133.0,2017-10-21T00:05:43,5.0,343.0
89,193.0,2017-10-21T00:10:43,5.0,643.0
90,14.0,2017-10-21T00:15:43,5.0,943.0
91,74.0,2017-10-21T00:20:43,5.0,1243.0
92,134.0,2017-10-21T00:25:43,5.0,1543.0
93,194.0,2017-10-21T00:30:43,5.0,1843.0
94,14.0,2017-10-21T00:35:43,5.0,2143.0
95,74.0,2017-10-21T00:40:43,5.0,2443.0
96,135.0,2017-10-21T00:45:43,5.0,2743.0
97,194.0,2017-10-21T00:50:43,5.0,3043.0
98,14.0,2017-10-21T00:55:43,5.0,3343.0
99,74.0,2017-10-21T01:00:43,5.0,3643.0
100,134.0,2017-10-21T01:05:43,5.0,3943.0
101,193.0,2017-10-21T01:10:43,5.0,4243.0
102,13.0,2017-10-21T01:15:43,5.0,4543.0
103,73.0,2017-10-21T01:20:43,5.0,4843.0
104,133.0,2017-10-21T01:25:43,5.0,5143.0
105,193.0,2017-10-21T01:30:43,5.0,5443.0
106,13.0,2017-10-21T01:35:43,5.0,5743.0
107,73.0,2017-10-21T01:40:43,5.0,6043.0
108,134.0,2017-10-21T01:45:43,5.0,6343.0
109,193.0,2017-10-21T01:50:43,5.0,6643.0
110,13.0,2017-10-21T01:55:43,5.0,6943.0
111,73.0,2017-10-21T02:00:43,5.0,7243.0
112,133.0,2017-10-21T02:05:43,5.0,7543.0
113,193.0,2017-10-21T02:10:43,5.0,7843.0
114,13.0,2017-10-21T02:15:43,5.0,8143.0
115,74.0,2017-10-21T02:20:43,5.0,8443.0
116,133.0,2017-10-21T02:25:43,5.0,8743.0
117,194.0,2017-10-21T02:30:43,5.0,9043.0
118,13.0,2017-10-21T02:35:43,5.0,9343.0
